,GEOID,B19013_001E
329,360050159002,-
330,360050160000,-
331,360050160001,83077
332,360050160002,94207
333,360050160003,177824
334,360050160004,150000
335,360050161001,23400
336,360050161002,21865
337,360050161003,24286
338,360050161004,21156
339,360050162001,99250
340,360050162002,144063
341,360050163001,-
342,360050164001,66912
343,360050165001,46179
344,360050166001,105463
345,360050166002,108060
346,360050167001,41313
347,360050167002,42625
348,360050169001,50107
349,360050171001,-
350,360050173001,84088
351,360050173002,17043
352,360050173003,33132
353,360050173004,16300
354,360050175001,-
355,360050175002,-
356,360050175003,-
357,360050175004,31250
358,360050175005,87931
359,360050175006,-
360,360050177011,35417
361,360050177012,-
362,360050177013,32935
363,360050177021,95542
364,360050177022,49213
365,360050177023,36530
366,360050177024,58852
367,360050179011,46313
368,360050179012,70135
369,360050179013,-
370,360050179021,52500
371,360050179022,45170
372,360050179023,40518
373,360050181011,47014
374,360050181012,-
375,360050181013,-
376,360050181021,-
377,360050181022,41308
378,360050181023,-
379,360050181024,67092
380,360050183011,41429
381,360050183012,-
382,360050183013,71635
383,360050183021,73023
384,360050183022,59141
385,360050183023,65163
386,360050184001,123773
387,360050184002,93826
388,360050184003,119831
389,360050184004,103056
390,360050185011,50177
391,360050185021,-
392,360050185022,26481
393,360050185023,25600
394,360050185024,-
395,360050189001,60833
396,360050189002,70880
397,360050189003,41921
398,360050189004,23798
399,360050193001,-
400,360050193002,39470
401,360050193003,37727
402,360050193004,-
403,360050194001,70185
404,360050195001,29759
405,360050195002,34787
406,360050195003,28369
407,360050195004,-
408,360050197001,11787
409,360050197002,11950
410,360050197003,37224
411,360050197004,-
412,360050197005,57949
413,360050199001,-
414,360050199002,50543
415,360050199003,-
416,360050199004,27674
417,360050199005,45076
418,360050199006,68875
419,360050200001,-
420,360050200002,40208
421,360050200003,-
422,360050200004,45732
423,360050201001,47942
424,360050201002,45481
425,360050201003,26157
426,360050202001,68750
427,360050202002,40972
428,360050204001,54093
429,360050204002,93214
430,360050204003,59417
431,360050205011,-
432,360050205012,35712
433,360050205013,-
434,360050205014,13556
435,360050205015,13315
436,360050205021,13227
437,360050205022,-
438,360050205023,78516
439,360050206011,54919
440,360050206012,-
441,360050209001,26118
442,360050209002,38141
443,360050209003,45420
444,360050209004,65551
445,360050210011,-
446,360050210012,57958
447,360050210013,-
448,360050210014,40781
449,360050210015,31667
450,360050210016,40708
451,360050210017,60368
452,360050210021,70337
453,360050210022,140285
454,360050210023,-
455,360050210024,-
456,360050210025,103326
457,360050210026,65388
458,360050210027,89076
459,360050210028,90000
460,360050211001,40703
461,360050211002,48148
462,360050211003,21422
463,360050211004,-
464,360050212001,41000
465,360050212002,117518
466,360050212003,-
467,360050212004,66168
468,360050212005,-
469,360050213011,33750
470,360050213012,46131
471,360050213021,23361
472,360050213022,-
473,360050213023,-
474,360050213024,37917
475,360050215011,29649
476,360050215012,24189
477,360050215013,107587
478,360050215021,-
479,360050215022,51776
480,360050215023,19746
481,360050215024,-
482,360050215025,13144
483,360050216011,45156
484,360050216012,-
485,360050216013,53826
486,360050216014,31989
487,360050216021,-
488,360050216022,70152
489,360050216023,-
490,360050216024,61063
491,360050216025,56552
492,360050216026,72538
493,360050217001,39609
494,360050217002,34632
495,360050217003,93139
496,360050217004,-
497,360050218001,36278
498,360050218002,32993
499,360050218003,82565
500,360050218004,70417
501,360050218005,-
502,360050219001,45906
503,360050220001,32174
504,360050221011,51477
505,360050221012,35441
506,360050221013,61591
507,360050221021,51726
508,360050221022,50566
509,360050221023,39318
510,360050222001,43043
511,360050222002,66328
512,360050222003,67326
513,360050222004,42105
514,360050223001,-
515,360050223002,43547
516,360050223003,51406
517,360050223004,18621
518,360050224011,90208
519,360050224012,50476
520,360050224031,88793
521,360050224032,87333
522,360050224041,-
523,360050224042,68143
524,360050224043,62065
525,360050225001,56157
526,360050225002,63403
527,360050225003,-
528,360050225004,43022
529,360050225005,60643
530,360050225006,69674
531,360050227011,36269
532,360050227012,-
533,360050227013,33873
534,360050227021,27165
535,360050227031,75489
536,360050228001,62445
537,360050228002,99438
538,360050228003,102844
539,360050228004,47464
540,360050229011,56548
541,360050229012,86369
542,360050229013,60605
543,360050229014,21262
544,360050229015,40208
545,360050229021,-
546,360050229022,-
547,360050229023,32500
548,360050230001,53370
549,360050230002,60483
550,360050231001,55179
551,360050232001,54375
552,360050232002,55787
553,360050233011,59018
554,360050233012,46875
555,360050233013,-
556,360050233014,12319
557,360050233021,58214
558,360050233022,50027
559,360050235011,43472
560,360050235012,-
561,360050235013,67779
562,360050235021,46442
563,360050235022,63438
564,360050235023,39155
565,360050235024,58009
566,360050236001,73590
567,360050236002,-
568,360050237021,53304
569,360050237031,24205
570,360050237032,22083
571,360050237033,-
572,360050237041,20774
573,360050237042,40161
574,360050237043,56151
575,360050238001,-
576,360050238002,57550
577,360050238003,83929
578,360050239001,-
579,360050239002,46913
580,360050239003,-
581,360050239004,75550
582,360050239005,-
583,360050239006,-
584,360050239007,46788
585,360050240001,66250
586,360050240002,132418
587,360050240003,-
588,360050241001,45702
589,360050241002,-
590,360050241003,41074
591,360050241004,52004
592,360050241005,-
593,360050243001,-
594,360050243002,-
595,360050243003,29242
596,360050243004,-
597,360050244001,70313
598,360050244002,57072
599,360050245011,34750
600,360050245012,43005
601,360050245013,63516
602,360050245014,30776
603,360050245021,-
604,360050245022,-
605,360050245023,41071
606,360050246001,85682
607,360050246002,88482
608,360050247001,49952
609,360050247002,54688
610,360050248001,96250
611,360050248002,58000
612,360050248003,62891
613,360050249001,-
614,360050250001,79545
615,360050250002,99400
616,360050251001,-
617,360050251002,48059
618,360050251003,-
619,360050251004,77930
620,360050251005,30828
621,360050251006,-
622,360050251007,47468
623,360050252001,78125
624,360050252002,90192
625,360050253001,65625
626,360050253002,41227
627,360050253003,55938
628,360050253004,-
629,360050254001,63162
630,360050254002,84219
631,360050255001,53274
632,360050255002,48057
633,360050255003,13750
634,360050256001,51591
635,360050256002,50924
636,360050257001,57241
637,360050261001,61552
638,360050263001,95861
639,360050263002,33519
640,360050263003,80256
641,360050263004,65396
642,360050263005,-
643,360050264001,-
644,360050264002,78656
645,360050264003,103269
646,360050264004,47113
647,360050265001,67995
648,360050265002,44714
649,360050265003,66833
650,360050265004,57538
651,360050266011,46172
652,360050266012,-
653,360050266013,77885
654,360050266021,33120
655,360050266022,88125
656,360050266023,66005
657,360050266024,-
658,360050266025,57241
659,360050267011,52202
660,360050267012,34286
661,360050267013,88750
662,360050267021,83828
663,360050267022,-
664,360050267023,39588
665,360050267024,145772
666,360050267025,69009
667,360050267026,-
668,360050269001,-
669,360050269002,-
670,360050269003,61538
671,360050273001,71648
672,360050273002,84167
673,360050273003,38188
